title,subtype,description,Number-tl,Number-tr,type,SELF,tile_image
"Kitty Purry, Town Gossip",brat,,,1,cat,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMTEhUTExMWFhUXGBcYGBgYGBoaHxgXGhcXGBgYFxofHSggHRolHRcXITEiJSkrLi4uFx8zODMtNygtLisBCgoKDg0NFQ8PFSsZFR0rLSsrLS0rKystKy0tMCstKy0tKystKysrLS0rLTctNystKy03LSsrNy03NzctNy0tN//AABEIAMYA/gMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAACAwEEBQAGB//EADsQAAEDAgQDBQcDAwMFAQAAAAEAAhEDIQQxQVESYXEFgZGhsQYTIjLB0fAUQuFSYvEzcoIHI5KishX/xAAZAQEBAQEBAQAAAAAAAAAAAAAAAQIDBQT/xAAfEQEBAAICAgMBAAAAAAAAAAAAAQIRAxIhQQQTMSL/2gAMAwEAAhEDEQA/ANLW/dM+i5roOUg5jnoRzRGeZ6hQTtLVydQyRIJIGrfqhdTGoA8brsRV4WkmYGtvyFWwnaVN+x9P8qjQaWEQ6W88x0ISqob+09eSDjBkD7SB9Uym8N+EgEHKRkUAioR01sFxc05SZzmBBRBw/J8NyoeGH5SeYzjogBjQ0mM/EEclJbqZ4TbLMotLdyEPfcgkDI3nu/lQd4bG2XNC4TpBHXx2U8Q18Z9VwcAc50veO/VAXGTBgTkbWP8AKRUZrFx4o4n9zz+aLncQEFzuU6d6on9WTlwyf3HP/KVWEZnvMzB1XPa3OCBrpfcckZqx8pDp1IMj870ABgGRLgNRrPLRG8nUfmxXcQ1MDWL23Xmu3faEBxp0nTGbueVkG/8ArG/KQDtuE1jps6eX2Xzh/alQODg4iF7b2f7W9/S4nAy08LiN9PEINIgff83XT/aeh+6h0gmSYOu2xXN4rfH4mVRwd1XObH0RP5ZbjLryQNquHw2I2J8+SImctei5pcLaePhzXGYvMeRCgxb4reh2QS1+mWxy7iuMxf1B8EDnRlcdLIuNp14TtFu5BIa4i+mw0UTb6Qh98GkTxT10Oyl2seSAiDkQB0TaWGecrqub3JvGpzS+EnIkdCg03BwsSNpBkoGtm2RGpyXARaPzqofichH3WWmB7cVHtw//ADAdG1/qvEYXEOHxNJB6r3nt3TJwb5bEFrpnZw7l82pusqPd9he03ERTrWNodueexXph1vvv1XyQVd5XqfZz2juKVW8ZE5nkUHsnAHO28/RdJaYpgz5pdHFNcLRb8yTRXEQY6gXUAEmSYI5c1z2wZB03RVHT8zy4eaFsAWEjzCDuNomXEyL8I9f4RmoC34QBHL5uvP7pQbY7bbFBS+E3mD3dFUEXcWgHfNuS4SLGJ/ukeG6Jzqkf2jI6DqgHEReZGR0UBMJPwzIzA26HRA2Oo2EA9e5GKQdBDnBw1IjvBWP7R9sHDtMOHG4QIE56lUZvtR22G/8AaYfi1O3JeVD1XY4klzjJNynhuyVYKFv+wuLcyrUpgn4mz3tP2K82+otn2OE4gx/Q76Ite9eZS3t0gFDxDnKLiGRDgOcGO7VNsoa4gRJ4diibw5DPYofebi2lyoNY5NgN1MT4oDYZBad5ifRc5lhNp7/8IeMSCc8pGW1/sg4QLef2VDHGLGR3eC6W7OnI7TuhI0nxKnjP9RJyOc2ysiGUyRkGnqRI6BC5uoSyy8+MXUjU5j80QG4xBdkRKF2LjImOYhC0WgutpbLku93IzQasCJEgjfMpcWyH5uVvVOw3tMiCOo9VWrYB7blvh/C493Xq852xhDVw9WnMlzHQNnZjzhfJKTt19090MuEHxXyD2y7POHxdRsQ15943o65g9ZW8btmzSmKrSIy5oXMGg80hsIpW9M7b/Y/bBkNe6HCA12/J33XrsL220QHsHEvl9RxHRbvZfa4Iax44oiHCzh91LFxyfR8JjadRxDIbH5dOOFdMgiNYMLxrqTqYLmOlrryCm4Pt57W/FcCyx5a8PVVW02fE50wgpY2k/JvevMYjtXiO+XpJVX/9KDb/ACnk8PYVcRSbe+2ar1u2KIY4m5BgCM9l5TEY91ToM/un4Oi2JqH80sqHYztx7+IzwgRfQBeL7RxTqr5OQsOm/VaPtBjA4w21MZNyk7nmsEOMrUjFqw1Ml3NV5R0qnNUlS5vivT+wlG9WpMEANHjJ05BecBLrL1nsO5opVA6fmGWls1Kr0zdiRPqo92Y+UxuATCUWgrqb3/tfcd3gZushoHFMGeWR8ELbaW5Hh7xzQveSQXSXaHLzUsMm5gnU+i0OEXt33v4KS/TMfTkh8D9VwI69PvkqgmvjWIztYt5qXCDEiN/5Gih7uExGeWtu5cAIyMZW0PPkgJ7eExNxtkQhBGvp9V1Km79voo70Q6hi2tJHDnvdDxQbGByskl5By8dO5S++RQb9PtSo3I+qvU/aJ2o8brx9PtsfuYe4/Qq1S7SpH9xHUfULyP7j29ceX69i3tmk4y9jZykiF80/6ytoufhn07HhqhwmREsIjvJ8V6L37XfK5hPX8K8t/wBR8GTSp1Bk0kHvg/Rd/j8l7yV83yOHGcdyxeAb5IuMbJXETkrVAcNyL9/0K9F5hPunOyaU/DYV+ogeiY7tB+kDoEArOdmg2aeOc1sA/n3VetiCdVUplG86rOmtrjq0a5D+EDakze9u9IBTAAirLK3ml1cWSIjKyAOAsb8/JA6ooK+IaXfnqqjqUaz0Vuqq9Rx1WmSETgNUcBA5VDKbiNbL2nssyHVdv+3/AOUEn1C8Z2dS46jWDUjwX1LC0mtHCABJk7zET6LGdbx8pMZRJ3B/LqHsBgggnwg6ovdEbEbZShFOL6E94KxK1obKHFcEc4059F1XDiLOBOuYPdok1Kgm1vFFTYb8QkEWIdcc4yK3tnSOKDcnmR9VDychcftO4Uhwi7ctxPF/K4uiwAHdeCqIpvjPx17gi4YMkRFt89wudBEgnqQc0z3jZFuNxEER5QqhdRkG5jmD4KTUFwZJ33/lc4z8rYG2cdEbcS4gNewHQOHwnodD6oCo1Kc/ECRpp4qaz6Ygy4jSwkciqtalPXXMEdymm0NGfj/hBilkIeJE2ojkFee9NDXjVdUphzSwzwnMT9EtzNlInVEv48Lj8N7qoW7FK4ydV6D2gw0vkjRY9Ch8QAC9DG7krzMsdXRtHDkgeqsU6EjLktHD4IR9QfVNdQLdBG/3U2sjKfSLevJRQErQrvA0uNQqdBwzVQDWWPL8Ke0GBpv9O5dQFvNc6p5eYUUOJpxBnoopYcnNHXfLZ29FNHEWH54oIOFte6U/Daq/SiTN52yVk0gcoUa0wxQSXUOMwF6FuCJBAhIwXZxD8vVXaaR7PdlllQOOVl9JOEB0J24dFj4Ls4QOonkvoVPC4ZzR8zTAu0yPBcM8/Ltjh4/HkXYN2Zjr94SalCMiD0+i9i7sOkfkqj/kISans7UHykOHIhZmS2PIPoyL57armU27ni8IXoa3ZVRsy0xzB9VTfg9/WVuZM9WM6lf4gSd5N+5ccOBrA5rTdhwMwSEl+FGk8vwrcyS4s8VSLcN9x9kIp6XBzvN1dLI+aSid8QMwNhCvZnqqguk5RBm35BXS0iwIkZTnvJT5APxNFtLqHhsEtkA6G8HkrtNEvAA5Zj7IgwG4yTixxjJx3H23XUMPx6hpG5z6Js087UAy9Ev3XNU6OJJLnnWw5BM/Vk5L5Prr7PshvGQYKIVVVNUZKQ/Uq9F+yB7ZpgsBWFhQATmt2vUDmELFcTJC+jj/ADT5OWf1uC/WhuZ8kD8Y5w4xxBp3OaTiaADYzJuT9OiCpUmi0D9og9y6acbQVO0S63D4fb6ofeHNVcMZcFcgTCqbaPZ5keqKrT9L81XwEzAWqGB0Tnl36rNbjGcCOirvqODZFpy3Wv2rTApkNuYy/OShnZn6jDCpTMlphw2I0PUJtMlLsqoHAtM8UiHTAjUFsXOV5ERqtGk1/GafFoDfmqvZXZj6fFVqDha3c5laHY5PE+s791h91KY7X+zalyHCHCx59Fpe6ByvyO6qU67KkyPiGR+6RWruGTuo/LrNddvUdm1psSQRotLiI2C8vWx4bTLgTxR5rJpe1OIb+4OGzmz52Pmvl5uO5Xw+3g5McZdvo1PGPH7nevqSrNLtVw29F4DDe2h/fSB/2OI8jPqtCh7W4d2fGzq2R/6yvn+vknp9Hfjye9oe0BGp8QfIq03tmm75msO/E1eOwnaNKrPBVY6MxIBA5tMFWyCLxPRJyZT9Z+jDL8enBwzp+CJ/pd9Ep/ZVE/LUIP8AcPsvPh53PhKY3FuB+b1Wpz2M3409VrVOwXHJzHdLFUqvYj23NJxHK/ohb2g7rz/IV2j2w4akd66Tnjlfj5T8ZFXAkftjqPukPwudl6dnbAPzeY+yaHYd2bB1aYXTHmlcsuLKenkH4S0gRslVMHfOZ2XtW9lYd08LnNnQ6eKWfZ0ftezxXWZuVmnwOnWJgBMdiNBkFRY5H7xddOW1ylWvJzT20+LNUqJlXG1IUqyrHugBYSsrFUS105XWrTqmZN+SnFUw/bvCk8LfLAedDmup4aTYxvYkeSfjaHCbfRUaeIcDcmF0c14dmnOQOcH6qjUo8JJDpNvsforjX8WqMUhEAD+6c45IaFgsKS3iW5g6B4QSD32R+zYD3AH5RPll3L0vbTG+5bwiNCe7ZYtbkeKxFEiuBoBI9YKsBgbxPY8tccy0xxciMj3oq1B1RwLDD2b7bLsbTPCSLEZx+ZIM6pTky5xde3ESR4ZDwUl5cI02EeX8Kl+qOt9+fVNZiJ6bSrploMqBoFkFQfF19eiqUa2xNlo4ildrge5RqJxzoYAFjGNFuYrC+8bY3CxK1BzTBXOx2xobqOJdPRDxKNj4k6hiqjD8D3N6EjyVYrpTRut7D+1GJZYvDx/e0HzEFaeH9tHj56QPNjiPIyvIAomlc7xY306Tlynt9Cwvtjh3fNxs6tn/AOZWnh+1KFT5azCf9wHkbr5ZxLrbLnfj4+vDpPkX2+utG19iimF8ooYl7PkqPb0cR6FamH9qMS23HxDZwnzz81zvx8vVbnPjf2Poza5GRPiQn/r36nzXhMP7Zv8A30mnm0kHzmfFaVD2uoEfE17eUfYrH15z013wr5uLBcxuuQVo0hukvXrPHT74DIom4qFXcBpCAMKaNtFmL71cpYkwMh0+t1htsn0qiml22T8XVZOO7NNyDbmL+qdTrnmFao1ZEEtM7oPOBjg6LdZWkKoDTBBI0BnxKs4rs3iMjh81lVmFhIIHctSs601+x+3WUptPFny1gLTqe17S3hcBw65z3FeIq0puFGEZxOAKdYdq952DjAXOLf8ATtc2M/YZJ/agpv4gfeCI+URnq3dZeGxgY0BpDYEAnXqor9pvJ/12i9iALclnTe1DEdkVASWtcW/1GLjeAswNg3WucULkuc7OCbDpzWXXbJs4DkZHhZWM0+jXvaLZq4/HakjxBWQWvAzPcVzJ/wAq6JWica7TyRNxR1vyVemLZDzuj4dis6a2Y9gNxZJewhMDbohO6z1bmasuT3MS7bBTS9wgopUF8Zwo4tlep3GCplLgogp1O4g5SClcSD3hV6J9i2HKRdVffckTqncp0X7BimUxtWLOCNrIREhwgkW8VtyAaDTlHSyRUoRrHKCmPYE+nUtkVUUDzPkpa9aQIOnkPNJfhWnJsf7SmxX4902m4hKfg3DKO/NCwEZ/VFalKpoYHdKDF0Q/KJ5iyrMHen06oGagyMThS2ZH5yWe2xXrj8QyWNjsKxt1qVmxRbVtkjGJjM+QVepVGiWxk5qs7WTinG2nPJTTAGUjpl3goGNTAQijjoOY17lbp0LS4pFBm4kK3xTl4FZahobIQweQCKlOqJzlGinMQzCLhcSi92NfBALnSFVqOTKlS8JMX3RBMozeFYFHYJdOYUtcd7IDcEp1gjJF8yUbaLiJiyCrIzJUB6vDCknKUt+GMfKrs0q21lSU11GM0t7RzRF1tUc0RWcytzT2V0NnlTMboQ6dlEnmoptN06weia0kZib5i3gqHvuas0a3NBca+czPIiPNcKI29UpxEKGEjU/nLJBNTCDNuX50Q0qQOpHd/lPZVjZEC114APl3IIpEjKD1SseyW3T5GyKoAQQoPI1qEHVQ0LVx+Fi4WfC3KxYFMoMlcGc1Za0BszPkhDqfw2j86pppzqq7auQJTGVYPMc1loTaJBu6U4iBNrpL6k3Re/tARpAqmCgqXHxTfQfVTMC6BxB06IhTyMvBLa+DZMe3X6pNN17SVUPAP9PimRMCfBA4mbnzV/AtAuevRRYPCYaDEZ7q+QwbSqtXER6qoHzrCitHijVVamKAtqq/uxYy53eiDmjIAeqAnAGSdUrgAzCF743+yh1WwVFJzRup4NjfqgAUytMJAcmNqnmha5HwjmoCkHNSwDp5pZQgxoFRbCY2p1VanVH4VcY8LLSeKcinNJ3gcknhM/CQfJTxnUEIHNN7yUx+/qkteIU+9jOUB1TxDTxWNXZe3f8Ami1feDWFTr07zl3pEqs7DmLQdYKWfh3HKJVmljYlr2kjQ7d4zTKZa6QefRUZ7MQ1wOnVS6QZN1D8MAeIWTfigGARzVQLaovuPJcDrPOyOq5pgiOvI6JLRORUFqkB9kDnDTMImPI1RONyd0VVcAppPg6Ia1TQZ7qGtgdVUWG3kq9RgXdkQIWcKsGymo8vcGiw1UXZ78eCSInko/Vn+gDpZQGNZ8viVPGOaggVHGch9FPGDnnupiFEDpsUDGtOYMhDxcoSqZe3WQnGsDoilW69Ut1FdxbIhdVCyxTxEJ4A1QOYMwiJYQdVxSgIRFyAX0hzCfRkQhbUGqIFFaDKjXCHCDuE0N4hHFKo0nz15Joqb2UV1QFvzXG+y5r5HJMZiBrklVaQN2mPPyRBPacxkqVVhd8rstCn06zh9dV1RgddtiqMp85OIH5smYYwbm355KxXbPzCeeiriJMZKofSuYEEXujd8O+X1U4do/klQ5zbgTP5zy5lRVF4AMAQDpyTaDdfGUThJgiPt97p9Fgzm2cc1US5gFouq1SqYyj8yRYioCqmIqEadyhXcclGQk0cyjDgtINgGcptN+sapAiLrnVjZo0Gf2UVZs6Qo4zEKpc7oqbzqhtba8wRMhcClUymwRl18VAbidRKZwDWyXTqHvT2Hi+YxzjyRWc0prSuXKoNqFzjvZcuRUEJjRZcuUHPEHfr4pjACFK5AHFBhG8HOSuXIiaUqw1snmLrlyKq1gRJGn5ZDTr3yvuFK5BYcbdVRr0tly5CjpPgC0kkDzVqoyAXW1HXquXIQFFsATmfBLqD5uoC5cgrt+/kqVZyhcrGaZTHw9VIdEyFy5VHVHEgc0TW26KVyDqV+5NY2Z8Vy5RRe7tKbScoXKKbxZo2Nv5LlyLH/9k="
Snowball,cuddly,,,1,cat,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvStkkz5Cmod7qGYbn4eRjbM6yRabhq66l_iySRy7DN8iKlpTOFEZoDhIm_7DlTdOtFwY
Phyllis,curious,,,2,cat,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlJTLoeYMMGl8x3fKsfKnIMS0ezAB_a9y5eU37Zm49P1bfYJI0VY6jEWzb8k4Efln20zc
Mia,cuddly,,,3,cat,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCl5cIpFf_GW6cb3Gb0r8TeKuHANqMSex3HgsAaQNR9VRcKYKQ0xOJ6VPywoLvJ5r10K4
Princess,furocious,,,2,cat,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEBhsypOCQIWI1vh8w2S_7wBkAH3OdabJLPAzeZKwIRKJbANyq7i9sQpX6PUEbBfNtgNU
Sophie,conspirator,,,3,cat,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlnbKi8KoRGZTY1srL3nD_h0_keyf6yPoizaV5G-NCnub__xmZR3hm_vJlQyyEi5La2VQ
Mystery Box,,Each player may spend $5 to do an extra Makeover or Sabotage.,,,event,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxIQEBUSEhISFhUXFxUXGBYXGBgXFxUVGBUYFhcYFhcYHSggHRolHhYWITEhJikrLy4uGB8zODMtNygtLisBCgoKDg0OGxAQGy0mICUuNy0uKysvLS8tLS03LS81Ky0tLjUtLS0tLS0tKy8tLSstLS8tLS0tLS0tNS0tLS0tLf/AABEIAQsAvQMBIgACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAABgcDBAUCAQj/xABDEAABAwICBgUHCgUEAwAAAAABAAIDBBESIQUGMVFxkQcTIkFhIzJygaGxshQzNUJSc4KiwdFTYnSSsyQ0Q9IVY/D/xAAZAQEAAwEBAAAAAAAAAAAAAAAAAgMEAQX/xAAqEQEAAgIABQIGAgMAAAAAAAAAAQIDEQQSMTJBIVETIjNxgfBhsRTB0f/aAAwDAQACEQMRAD8AvFERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEWCWsjbte3nnyWpJpmMbMR4C3vUJyVjrKUUtPSHSRcOTTjvqsA4m/uWsdKyk3xAeFgq54ikLIwWlJUXCi028ec1p4Zfut+DSjHbQ4cRlzClXNS3lG2K0eG8i8MkDthB4L2rVYiIgIiICIiAiIgIihNbrPUtke0COzXObkCDkSNpxA8gq8mWtOqdMc36JssUtSxnnOaOJCgj9YS75x8jfSvh5t7PNZYpQ4XaQRvBBHMKieK9oXxw3vKVS6ZiGwl3AfutSXT/wBlnM/oP3XFawnuWVtOd4CrnNkt0T+Djjq25dLyu7wOA/dakk7nec5x4klexABtv7AP3X0lo2YeRcozzT3SlHLHSGFoJ2BZBC7vsOJsvZqOJ5D3LH15vkAPG2fNR1WEt2ZG0/jyH6r1gaNvtP6BYDITtJXkFOaPEHLPmW11zRsHIL4ao7gtdFznk5IZTO7fyyWSOukbse715+9a114dO0d65zzHl3lifDrxaaePOa0+wrdh0xG7bdvHZzCi7qsdwWN05KsjibR5Qnh6ynccgcLtII8DdelxdVfmnn/2H4GLtLdjtzViWK9eW0wIiKaIiIgKtdNMtUy+m48zf9VZSrrWNtqqX0gebQVk4ztj7tHDd0ucvkEIDsTRhdvGRPG21fV7h2rBHVslts0hKwdzuOR5j9l7bp0f8gczxtdv9zb29dlqyjJYFObTDkRDuxTB4xNcHDeCCOYXtRvqRfEBhd9ppLT6y3atylrntNnuxg3sSAHA8QLEepc5nXZC+rnurT3BYnTuPenM7yum54HeFjdUtC5NVVMjbike1jd73Bo5krXrdKxQyxRPJxyl2AAdzQC5zjsAAN+aRueh6R1do1m4LGahx71B267uL43imd8lfKImzF1i5xNrtZbibeB2HJatYyulrmUk1WWNkY9/kOzhaMdhisHE9jeRn3qz4VvM6Q+LXx6pxWV0cQxSyMYN73Bo9pXG0trhS0zsB6x78LXYY2X7LmhwOJ1m2sQdveozT01F/wCSrDWdWQzqGx9YfOPV2d2frnJuVjt8U0/pFtLX1gwOOOkETWsAs28bBd25gAU64Y3r1n03/X/UbZZ1v+Ulo9aWyVUcYZaKSnM7JCbE2JxNLbWBAY++Z2BbeqNbLUUjJ5j2pC54FgA1hcQxuQ3AG/ioTrFRdXouinheHGNro8QuLtnY4O257btz+0VZFBSCGKOJuyNjWDg1ob+ijkrWK+n7r9h3HNpt6/u0x1XHkT6Z9wC7C5OrI8h+J36LrLfh+nDFl75ERFYrEREBQDWof6uTxwH8jR+in6guuItU8WN/ULLxfZ+V/D97hqOawa6U1E/qzifINrWW7PpOOQPhmV2NL1nUU8sveyN7gPENJHtsqAlkLnFziSSSSTtJJuSfFZ+HwxfcyvzZZp6QtKHpRgdk+GVoyzBa79lKNEacp6tt4ZGuttbsc3i05+vYqG6l2HFhdhvbFY2vuvsXqkqnwvbJG4te03DhkQVovwtJ6Ka8RaOr9Drw7zm8QuHqdrEK6DEQBKyzZGjZc7HDwNj6wQu3Jtb6Q96wWrNZ1LZWYmNw96QmMcMj22xMY9wvsu1pIvbuyUS0DrRLPS1j5S3HFGXtwjCBdj7Wzv5zR396lWmB/pp/upfgKqqOQxQuY3L5TTNaPF/ynB8LH81owUi1Z+8Ks1praHQ0TROqdHVmIuc9jo5AXEuddjXF2ZzuW4h612tXJvl9U17jcQ0bY3HdNJdryOIxrc1DjAlrm2yFQW28A6QW5BYejqnww1bY8nCZ0bSc7YWAMvfcTdTvfu/eqFK9v70a+r9fLo2RlFVxjq3PPVTDZdxtcb2kuz724s7gi3Urvpyn/p3+6Zculoa+tFPDVRFjYZetkme4YpLEnC1o8Da4uMgcrWPbr5qNteypkrIWvjYY+rxN2nHcuN8vP2W7lG+ub+dTvSVd6143HVw2TUcek659Z1VmmEsxjFng7WFtjc5N7ssl0WROm0hWPY1xbJRANdYhri+OMtbc5XO5dLSlBTxRzVrKaKaTD1t3HFis0ZtcQ4Dsi/ZGdvFcjVHXKWrq+plbG1rmOMYaCCHNsbEkm/ZxHu81Nzas2r4jX9O6iJ5Z99tp2gXO0TFTTyMgLCHPc4tcG2e51r4gLkEd6lVHXRzt6yJ7XsJIDm5tJBsbHvz7woF0s1wDYYfF0rvDCMDPfJyUz1coPk9LDEdrWNxemRif+YlV3j5ItPmZTpPzzWPEJ/q4PIDi73rprnavj/Ts/F8ZXRXoYuyPswZO+fuIiKxAREQFCddh5dn3Y+Jymyh2vTfKRH+Vw5Efus/FfTldg70UrKVk0bo5BdjwQ4XIuOIzUF0t0ZxuuaaUtOfYk7TfABwzA9RU/utPS2ko6WF00hOFo7syScgAN5Nlgx5L1nVWy9K2j5nugomxwMgwtwtY1mG1wbCxuDtvnzVIaz08cVZMyLzGyOAtsG9o8Abj1Lsad19qai7Yz1MZyszzyP5n7eVlE1uwYrU3NvLJmyVtqIS/ovqiyvDL5SMe0juyGMH8vtKtmfu4t96q7or0c59U6e3YjaRf+d4sAPw4jy3q0aju4j3hZuK18Rfw/YyaSjLoZWtFyY5ABvJaQB7VEqfVKR0VE6VzIzBiMoOdx1/WtaCDbZe5vldS+veWxSOBsQx5B3ENJBVNOlnrJGsc98r3EBoc7LF4Yjhb7F3h62mJ1Onc0xExuNrDoNJ6PonzEVWN00he63lA0kuNh1bTYDEdpKkOiHU5jx03V9W4k3YAAXXzLrfW33zVU6Y1WqKSISy9XhLg3suLi0kEjFkB3dxKknRTMb1Ef1fJP/EcbSeTW8lLLiryTes7cx5J5orMaa+v2skjpXUsLnBjbCQtvikefqC2eEZCw2m47lwtKarVNLAJpWsDSQC0Ou5hOzEALeGRK8aPOLSLCc71TSeJnurC6R/o9/pxfGFbzfDmtI8q9fEi1p8NHotqS+nmhdm1jwQDsDZAbt4Xa4/iKhTwdHV/f5CW+8ujvcet0Z/Mpb0T7KnjD7pFqdKdAGzxTj/kaWu9KO1jbxDgPwhcrMRmtX3dtG8UW9mHShFdptrB2mB7GXGYMcQ6x/qJ6wetWoFU3Rg5griHecYnhm692k+vCHe1W0FRxPpMV9oW4PWJt7ymOgxanZwPtcVvrT0P8xH6K3Fvx9kfZhv3SIiKaIiIgKJ69t+aPpj4VLFGNe2+TjP85HNt/wBFTxH05W4e+EOUH6WZrU0TftSk/wBrD/2U2uorrrpCja6KGsic5rg5we3zozcC+VjY+G7YV5+DvidNmXslUlPC6R7WMBLnENaBtJJsArA0N0aE2dVS23xx5ngXnLkDxWfVvVSFtVFVUtSyaFpJIPntJYQ29htuRtDSrBWjPxExOqqcWGJ9bMGj6GOnjEUTAxjdgHtJPefEr3UbOXvWVY59n/29Yt7aojTJpL5mX7uT4Cqk1R/31P8AeN9xVt6R+Zk+7f8ACVSdHUuic2RhwubYg2Bsd9jktvCxutoZ+InVqyszpKna2jDCe0+RmEb8N3OPAZcwtXoroi2OWYjJ7msb4iPFiI8LuI/CVBK+SeXys3XOvkJHh2HfZriMPqCsDo608+cOp5A28bWlhaA3sA4S0tbYZdnMb/DPt8c0w6j8uUvFsu5/CE6L+kI/6lv+YKxOkf6Pf6cXxhV3o36Rj/qm/wCYKxOkf6Pf6cX+QLuX6tHMf07OR0TbKnjD7pVodIExqdIxUzfqiOPg+VwLvymPkt/onybUk5C8OfASXXM1NvWaWdUG9gZZvUexG08A8f2J0y3v7R/o646193Hlvo7SBtfyE1xvdHtHrdG78yu2NwIBBuCLg7wcwVWPSpQYJ4pxskbgduxsOXrLXW/AphqHNI6giEjHtcwGMYmlt2NyYRi2jDhF/AqvP8+Ot08Py3mi1dFC0Efohba19HfMx+g34QthbqdsMdu6RERSREREBR7XeMmmBAPZeCbdwwuFzuGakK+EXyKjevNWYSrblnapLqA9I+gKmolbNEzGxsYaWtzeCHOcTh7xmNlzkrx0xqg1/apyI3fYPzZ4WzZ6rjwUPrKWSF2CVjmO7r7Hei4ZO9RvvsvO5L4bc2mzmpljSr+immPymZ5uMEeG24ueNv8AYVaAK12RtDi8NaHOsHOAF3Wva577XPNZQVXlyc9trMdOSumULxPsX0FfJdhVaxm0gPJSeg/4Sqf1UANZTggEdYzIq4K0eSk9B/wlU3q5O2Oqge8hrWvYXE9wG05LZw3ZZm4juqtHXht9Hz3zsGHgRIyyh/Rf/vX/AHLv8kaz64a4x1EJggDy1xbikcMIIBDrNac8yBcm3ty6XRnoh0cb6h4t1oAYD/DGeLg42t4NB70iJpgnm8kzF8scqDdf1NZjIv1dQXEb8EtyOOVlIddNcI6uIQwteGYg57ngAnDmGgAnK+ZPgFINYNRY6mYzRymJzs3jBjaT9odoWJ79u9begtSqamcHnFLINhfazTvYwZX3E3I7lOc2KdWnrCMYskbrHRz9CaGnp9FStYxxqJ7nDcAsDwIxcutYht3G+wkhb2o2rb6FsjpSwySYcmkkNa29hcgZ3cfYpxSaFmk+rhG92Xs2rs0mrcbc5CXnd5rfZn7VXFcuSJjWtpzbHSY9eiMMg6xwAZiINxYYiDa1xuyJz8V2aTV+V2byGDm7kMvapNDC1gs1oaNwFlkVtOErHdO1VuJtPb6PEMYa0NGwAAcALL2iLWzCIiAiIgIiICxVNMyVpZI1r2na1wBB9RWVEEO0nqXnip32H8N5JH4X7RwN+IUVqYHxPwSNcx252V/Fp2OHiLq21grKSOZuCRjXt3EXz3jcfFZsnC1t6x6L6Z7V6+qqmuXpxyUn0rqaRd1O64/hvOfBr/0dzUamidGSyRrmuH1XCx4jePEXCw3xWp1hrpkrfozVXzb/AEHfCVU+idUKucA9X1bcu1L2eTbYvZbxVw01O+Q2Y1zj4C9uO5duj1YkdnI4MG4dp37DmVbgnJETFI6o5opMxzSrbQ2odPCQ+ZxmcO4jDGD6GeL1kjwU3pNHyy+YxxG/Y3mclLqPQcEX1cR3vz9mweoLpK7/AB7XneSVPx619KQjdHqx3yv9TP8Asf2XbpNHxReYwDx2nmc1sotFMVKdIUWyWt1kREViAiIgIiICIiAiIgIiICIiAiIgLDVUkcowyMa4bbEXz8FmRB4jja0WaABuAsOQXtEQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQf//Z"
Walk A Mile In Her Paws,,"Everyone must interacting with the board as if their hands were paws until end of round.
First person to stop loses $5.",,,event,YES,paw.jpg
 Mondays,,"Select a player. They must approach a person outside the game and proudly proclaim “I Hate Mondays”, or lose $5.",,,event,YES,tacocat.png
Caturday,,Draw cats equal to the number of players. Event player distributes one among each player.,,,event,,https://i.kym-cdn.com/photos/images/newsfeed/000/008/324/caturday.jpg?1250196711
Prisoner's Dilemma,,"Everyone makes a vote, thumbs up for Greed and thumbs down for Heed. If Greed has majority, everyone who voted Greed loses 10 money. If Heed gets majority, everyone who voted Greed gains 10 money.",,,event,,https://www.lifewithdogs.tv/wp-content/uploads/2016/06/raining-cats-dogs-61.jpg
Imitiation Contest,,Everyone makes their best attempt at a cat meow. Winner gains $5 by vote.,,,event,,https://images.halloweencostumes.com/products/21346/1-1/adult-black-cat-costume.jpg
Marked Up Prices,,All actions cost 2$ more than normal until end of round.,,5,event,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqANCOhTpziQ4Pn95OrR4uRFyO3GAIUi_Q69-1XB5bT4FdkM2NpA
